书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
逍遥梦路,文抄公,完本,游戏,304.23,773.44,34.68,8.7,526,    大神 ,5,1162.69万,1596,38,2,0
文化入侵异世界,姐姐的新娘,完本,科幻,262.69,127.84,34.65,8.8,650,    Lv.5 ,7,861.27万,1985,39,40,0
逍遥小书生,荣小荣,完本,历史,75.07,435.06,34.53,8.8,610,    Lv.5 ,2,448.58万,897,91,61,1
迦南之心,绯炎,完本,游戏,167.76,74.16,34.5,9.1,525,    Lv.5 ,3,1032.75万,1826,74,1,0
贼警,虾写,完本,都市,63.9,144.52,34.47,9,159,    Lv.5 ,13,1764.62万,3571,90,7,0
苍穹龙骑,华表,完本,玄幻,594.52,413.69,34.39,9.2,674,    大神 ,5,1261.22万,3048,91,7,0
混在三国当军阀,寂寞剑客,完本,历史,136.33,139.08,34.26,8.7,68,    大神 ,8,1589.10万,3904,241,5,0
惟我神尊,傲无常,完本,玄幻,116.79,385.05,34.25,9,166,    白金 ,11,1749.31万,3528,123,0,0
全球论剑,网络黑侠,连载,游戏,303.58,489.12,34.17,9,1108,    Lv.3 ,9,1439.15万,2195,91,4,0
末法王座,庄毕凡,完本,玄幻,144.53,2130.23,34.16,8.9,558,    Lv.5 ,2,990.70万,1792,91,0,0
谍变,黯然销魂,完本,都市,189.54,70.82,34.13,7.3,3,    Lv.3 ,13,1879.03万,3469,37,0,0
神秘之旅,滚开,完本,奇幻,308.45,201.03,34.03,9.1,1152,    大神 ,6,1552.61万,2431,92,12,0
网游之模拟城市,笨太子,完本,游戏,166.53,374.8,33.93,8.9,70,    Lv.5 ,7,1143.81万,2078,71,0,0
逍遥小镇长,全金属弹壳,完本,都市,68.59,312.06,33.89,9.3,215,    Lv.5 ,5,1421.04万,1439,92,17,0
寒门枭士,高月,连载,历史,143.6,142.26,33.79,8.7,236,    大神 ,12,2640.73万,4108,90,7,0
篮坛教皇,兔来割草,完本,体育,410.11,209.91,33.78,9,238,    Lv.5 ,6,1209.06万,1878,91,2,0
电影的世界,有梦之人,连载,科幻,186.1,126.25,33.74,8.7,503,    Lv.5 ,1,197.75万,799,38,23,2
红盟风云录,寂寞的翻书,连载,短篇,51.32,495.52,33.72,2,0,    Lv.1 ,1,127.11万,199,37,10,0
